ID,Title,Description,Price,URL,Image URL
Despicable Me3  Giant Coloring and Activity Book,Despicable Me3  Giant Coloring and Activity Book,113.05 Br,https://www.addisber.com/product/despicable-me3-giant-coloring-and-activity-book/,https://www.addisber.com/wp-content/uploads/2020/01/43a-300x300.jpg
Geometrical Grown up Coloring book,Geometrical Grown up Coloring book,102.00 Br,https://www.addisber.com/product/geometrical-grown-up-coloring-book/,https://www.addisber.com/wp-content/uploads/2020/01/41a-300x300.jpg
The lion Guard Giant Coloring and activity Book- Stranger Together,The lion Guard Giant Coloring and activity Book- Stranger Together,113.00 Br,https://www.addisber.com/product/the-lion-guard-giant-coloring-and-activity-book-stranger-together/,https://www.addisber.com/wp-content/uploads/2020/01/3a-300x300.jpg
Just for Boys Coloring Book with stickers,Just for Boys Coloring Book with stickers,112.00 Br,https://www.addisber.com/product/just-for-boys-coloring-book-with-stickers/,https://www.addisber.com/wp-content/uploads/2021/02/11-4-300x300.jpg
#2 Girls bag,#2 Girls bag,406.00 Br,https://www.addisber.com/product/2-girls-bag/,https://www.addisber.com/wp-content/uploads/2020/10/2-300x300.png
1 LiptomilPlus Infant Milk,1 LiptomilPlus Infant Milk,477.00 Br,https://www.addisber.com/product/1-liptomilplus-infant-milk/,https://www.addisber.com/wp-content/uploads/2021/01/51-300x300.jpg
1 Million  Men’s Perfume,1 Million  Men’s Perfume,294.00 Br,https://www.addisber.com/product/1-million-mens-perfume/,https://www.addisber.com/wp-content/uploads/2020/06/10-5-300x300.png
1 Student school package,1 Student school package,"1,542.00 Br",https://www.addisber.com/product/1student-school-package/,https://www.addisber.com/wp-content/uploads/2020/12/1-2-300x300.jpg
10 Pencils #2 Fluorescent Pencils,10 Pencils #2 Fluorescent Pencils,98.00 Br,https://www.addisber.com/product/10-pencils-2-fluorescent-pencils/,https://www.addisber.com/wp-content/uploads/2020/08/41-1-300x300.png
10 Pencils #2 Printed Pencils,10 Pencils #2 Printed Pencils,98.00 Br,https://www.addisber.com/product/10-pencils-2-printed-pencils/,https://www.addisber.com/wp-content/uploads/2020/08/40-1-300x300.png
Wadi food pitted Green Olives,Wadi food pitted Green Olives,156.00 Br,https://www.addisber.com/product/wadi-food-pitted-green-olives/,https://www.addisber.com/wp-content/uploads/2021/03/89-300x300.jpg
Wadi Food Pitted Ripe Black Olives,Wadi Food Pitted Ripe Black Olives,648.00 Br,https://www.addisber.com/product/wadi-food-pitted-ripe-black-olives/,https://www.addisber.com/wp-content/uploads/2021/03/47-2-300x300.jpg
Where’s My Water Giant Coloring and Activity Book,Where’s My Water Giant Coloring and Activity Book,105.00 Br,https://www.addisber.com/product/wheres-my-water-giant-coloring-and-activity-book/,https://www.addisber.com/wp-content/uploads/2019/12/46a-300x300.jpg
"White PUMA Baby Shoes, Toddler Shoes","White PUMA Baby Shoes, Toddler Shoes",226.09 Br,https://www.addisber.com/product/white-puma-baby-shoes-toddler-shoes/,https://www.addisber.com/wp-content/uploads/2019/12/2b-300x300.jpg
wide neck Automatic Feeding bottle.,wide neck Automatic Feeding bottle.,194.00 Br,https://www.addisber.com/product/wide-neck-automatic-feeding-bottle/,https://www.addisber.com/wp-content/uploads/2021/02/24-4-300x300.jpg
Window Squeegee,Window Squeegee,419.20 Br,https://www.addisber.com/product/window-squeegee/,https://www.addisber.com/wp-content/uploads/2020/02/37-1-600x600-300x300.jpg
Winter Warm and Soft Baby Pre-walker with I love Dad Printed Baby shoes,Winter Warm and Soft Baby Pre-walker with I love Dad Printed Baby shoes,192.18 Br,https://www.addisber.com/product/winter-warm-and-soft-baby-pre-walker-with-i-love-dad-printed/,https://www.addisber.com/wp-content/uploads/2019/12/8b-300x300.jpg
Winter Warm and Soft Baby Pre-Walker with I love Mom printed,Winter Warm and Soft Baby Pre-Walker with I love Mom printed,196.00 Br,https://www.addisber.com/product/winter-warm-and-soft-baby-pre-walker-with-i-love-mom-printed/,https://www.addisber.com/wp-content/uploads/2019/12/32b-300x300.jpg
Wiper with Brush 55 Red,Wiper with Brush 55 Red,137.00 Br,https://www.addisber.com/product/wiper-with-brush-55-red/,https://www.addisber.com/wp-content/uploads/2020/09/111-300x300.png
Wooden Sofa,Wooden Sofa,"25,000.00 Br",https://www.addisber.com/product/wooden-sofa/,https://www.addisber.com/wp-content/uploads/2020/11/100-300x300.jpg
Yemberima  Light Meat Tuna,Yemberima  Light Meat Tuna,24.00 Br,https://www.addisber.com/product/yemberima-light-meat-tuna/,https://www.addisber.com/wp-content/uploads/2020/03/12-3-300x300.png
Zafochu Tegenedesu,Zafochu Tegenedesu,28.00 Br,https://www.addisber.com/product/zafochu-tegenedesu/,https://www.addisber.com/wp-content/uploads/2021/02/22-2-300x300.jpg
Twix Chocolate,Twix Chocolate,81.00 Br,https://www.addisber.com/product/twix-chocolate/,https://www.addisber.com/wp-content/uploads/2021/03/22-6-300x300.jpg
Uropa Electrical Socket,Uropa Electrical Socket,293.00 Br,https://www.addisber.com/product/uropa-electrical-socket/,https://www.addisber.com/wp-content/uploads/2020/11/17-2-300x300.jpg
Vanilla flavored candles,Vanilla flavored candles,53.00 Br,https://www.addisber.com/product/vanilla-flavored-candles/,https://www.addisber.com/wp-content/uploads/2020/09/11-1-300x300.png
Vatika  Almond Hair styling Cream,Vatika  Almond Hair styling Cream,96.00 Br,https://www.addisber.com/product/vatika-almond-hair-styling-cream/,https://www.addisber.com/wp-content/uploads/2020/06/7-1-300x300.png
Vatika  Black Seed Hair styling Cream,Vatika  Black Seed Hair styling Cream,96.00 Br,https://www.addisber.com/product/vatika-black-seed-hair-styling-cream/,https://www.addisber.com/wp-content/uploads/2020/06/4-1-300x300.png
Vatika Naturals Dandruff Guard Hair styling Cream,Vatika Naturals Dandruff Guard Hair styling Cream,96.00 Br,https://www.addisber.com/product/vatika-naturals-dandruff-guard-hair-styling-cream/,https://www.addisber.com/wp-content/uploads/2020/06/8-1-300x300.png
Vatika Naturals Hair fall Control Hair styling Cream,Vatika Naturals Hair fall Control Hair styling Cream,132.00 Br,https://www.addisber.com/product/vatika-naturals-hair-fall-control-hair-styling-cream/,https://www.addisber.com/wp-content/uploads/2020/06/6-1-300x300.png
Vatika Tropical Coconut Hair styling Cream,Vatika Tropical Coconut Hair styling Cream,132.00 Br,https://www.addisber.com/product/vatika-tropical-coconut-hair-styling-cream/,https://www.addisber.com/wp-content/uploads/2020/06/5-1-300x300.png
Velvet Table Napkins,Velvet Table Napkins,20.00 Br,https://www.addisber.com/product/velvet-table-napkins/,https://www.addisber.com/wp-content/uploads/2020/08/15-1-300x300.png
Vione Spring healing Aloe Vera Body Wash,Vione Spring healing Aloe Vera Body Wash,169.00 Br,https://www.addisber.com/product/vione-spring-healing-aloe-vera-body-wash-2/,https://www.addisber.com/wp-content/uploads/2021/02/8-8-300x300.jpg
Vione Spring Strawberry splash Body Wash,Vione Spring Strawberry splash Body Wash,169.00 Br,https://www.addisber.com/product/vione-spring-healing-aloe-vera-body-wash/,https://www.addisber.com/wp-content/uploads/2021/02/7-5-300x300.jpg
Wadi food pitted Green Olives,Wadi food pitted Green Olives,156.00 Br,https://www.addisber.com/product/wadi-food-pitted-green-olives/,https://www.addisber.com/wp-content/uploads/2021/03/89-300x300.jpg
Tilapia Whole Fish,Tilapia Whole Fish,228.00 Br,https://www.addisber.com/product/tilapia-whole-fish/,https://www.addisber.com/wp-content/uploads/2021/02/35-300x300.jpg
Tomato flavor  chips,Tomato flavor  chips,15.00 Br,https://www.addisber.com/product/tomato-flavor-chips/,https://www.addisber.com/wp-content/uploads/2020/12/r13-300x300.jpg
Top Society Lotion,Top Society Lotion,123.00 Br,https://www.addisber.com/product/top-society-lotion/,https://www.addisber.com/wp-content/uploads/2021/04/9-1-300x300.jpg
Tramontina  Loreto 2PC frying pan Set 20cm & 24cm,Tramontina  Loreto 2PC frying pan Set 20cm & 24cm,594.00 Br,https://www.addisber.com/product/tramontina-loreto-2pc-frying-pan-set-20cm-24cm/,https://www.addisber.com/wp-content/uploads/2021/01/83-300x300.jpg
Tramontina Easy Pizza Cutter,Tramontina Easy Pizza Cutter,172.50 Br,https://www.addisber.com/product/tramontina-easy-pizza-cutter/,https://www.addisber.com/wp-content/uploads/2020/03/19-300x300.png
Tramontina Food Container,Tramontina Food Container,292.00 Br,https://www.addisber.com/product/tramontina-food-container/,https://www.addisber.com/wp-content/uploads/2021/01/87-300x300.jpg
Tramontina Paella Pan,Tramontina Paella Pan,713.00 Br,https://www.addisber.com/product/tramontina-paella-pan/,https://www.addisber.com/wp-content/uploads/2020/03/84-300x300.png
Tramontina Stainless Steel Pan,Tramontina Stainless Steel Pan,"4,560.00 Br",https://www.addisber.com/product/tramontina-stainless-steel-pan/,https://www.addisber.com/wp-content/uploads/2020/08/28-1-300x300.png
Tramontina Whisk,Tramontina Whisk,476.11 Br,https://www.addisber.com/product/tramontina-whisk/,https://www.addisber.com/wp-content/uploads/2020/03/15-2-300x300.png
Tressa Hair food  with olive oil and Vitamns,Tressa Hair food  with olive oil and Vitamns,45.00 Br,https://www.addisber.com/product/tressa-hair-food-with-olive-oil-and-vitamns/,https://www.addisber.com/wp-content/uploads/2020/06/14-1-300x300.png
Tv stand addis furniture T101,Tv stand addis furniture T101,"3,991.00 Br",https://www.addisber.com/product/tv-stand-addis-furniture-t101/,https://www.addisber.com/wp-content/uploads/2020/10/Untitled-1-4-300x300.png
Tv stand addis furniture T102,Tv stand addis furniture T102,"3,991.00 Br",https://www.addisber.com/product/tv-stand-addis-furniture-t102/,https://www.addisber.com/wp-content/uploads/2020/10/3-1-300x300.png
Technics Tractor Trucks,Technics Tractor Trucks,703.00 Br,https://www.addisber.com/product/technics-tractor-trucks/,https://www.addisber.com/wp-content/uploads/2021/03/41e-300x300.jpg
Teddy chili chips,Teddy chili chips,10.00 Br,https://www.addisber.com/product/teddy-chili-chips/,https://www.addisber.com/wp-content/uploads/2021/04/17-2-300x300.jpg
Teddy ketchup chips,Teddy ketchup chips,10.00 Br,https://www.addisber.com/product/teddy-ketchup-chips/,https://www.addisber.com/wp-content/uploads/2021/04/21-1-300x300.jpg
Teddy pizza chips,Teddy pizza chips,10.00 Br,https://www.addisber.com/product/teddy-pizza-chips/,https://www.addisber.com/wp-content/uploads/2021/04/20-2-300x300.jpg
Tefal Access Steam Irons Fv1520,Tefal Access Steam Irons Fv1520,"1,322.50 Br",https://www.addisber.com/product/tefal-access-steam-irons-fv1520/,https://www.addisber.com/wp-content/uploads/2020/03/6-2-300x300.png
Tefal first cook Pan,Tefal first cook Pan,637.40 Br,https://www.addisber.com/product/tefal-minute-pan/,https://www.addisber.com/wp-content/uploads/2020/03/82-300x300.png
Tefal Minute Pan,Tefal Minute Pan,874.00 Br,https://www.addisber.com/product/tefal-minute-pan-2/,https://www.addisber.com/wp-content/uploads/2020/03/83-300x300.png
Temmy’s Choco Pops 500gm,Temmy’s Choco Pops 500gm,200.00 Br,https://www.addisber.com/product/temmys-choco-pops-500gm/,https://www.addisber.com/wp-content/uploads/2020/03/82-1-300x300.png
Temmy’s Choco Scoops  500gm,Temmy’s Choco Scoops  500gm,200.00 Br,https://www.addisber.com/product/temmys-choco-scoops-500gm/,https://www.addisber.com/wp-content/uploads/2020/03/83-1-300x300.png
